title,platform,type,date_added,release_year,genres,minutes,seasons
I Heart Arlo,Netflix,TV Show,2021-08-27,2021.0,"[""Kids' TV"", 'TV Comedies']",,
King of Boys: The Return of the King,Netflix,TV Show,2021-08-27,2021.0,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']",,
Koi Aap Sa,Netflix,Movie,2021-08-27,2006.0,"['Comedies', 'Dramas', 'International Movies']",135,
Krishna Cottage,Netflix,Movie,2021-08-27,2004.0,"['Action & Adventure', 'Horror Movies', 'International Movies']",124,
Kucch To Hai,Netflix,Movie,2021-08-27,2003.0,"['Dramas', 'International Movies', 'Thrillers']",136,
Kyaa Kool Hai Hum,Netflix,Movie,2021-08-27,2005.0,"['Comedies', 'International Movies', 'Music & Musicals']",165,
Kyaa Kool Hain Hum 3,Netflix,Movie,2021-08-27,2016.0,"['Comedies', 'International Movies']",124,
Kyaa Super Kool Hain Hum,Netflix,Movie,2021-08-27,2012.0,"['Comedies', 'International Movies']",136,
Kyo Kii... Main Jhuth Nahin Bolta,Netflix,Movie,2021-08-27,2001.0,"['Comedies', 'International Movies', 'Sci-Fi & Fantasy']",150,
"LSD: Love, Sex Aur Dhokha",Netflix,Movie,2021-08-27,2010.0,"['Dramas', 'Independent Movies', 'International Movies']",112,
Mission Istaanbul: Darr Ke Aagey Jeet Hai,Netflix,Movie,2021-08-27,2008.0,"['Action & Adventure', 'International Movies', 'Music & Musicals']",119,
Once Upon a Time in Mumbaai,Netflix,Movie,2021-08-27,2010.0,"['Dramas', 'International Movies', 'Music & Musicals']",133,
Once Upon a Time in Mumbai Dobaara!,Netflix,Movie,2021-08-27,2013.0,"['Dramas', 'International Movies', 'Music & Musicals']",142,
Ragini MMS,Netflix,Movie,2021-08-27,2011.0,"['Horror Movies', 'International Movies']",93,
Ragini MMS 2,Netflix,Movie,2021-08-27,2014.0,"['Horror Movies', 'International Movies']",113,
Rebellion,Netflix,TV Show,2021-08-27,2016.0,"['International TV Shows', 'TV Dramas']",,2
RIDE ON TIME,both,TV Show,2021-08-27,2021.0,"['Docuseries', 'International TV Shows']",,3
SAS: Rise of the Black Swan,Netflix,Movie,2021-08-27,2021.0,"['Action & Adventure', 'International Movies']",124,
Shootout at Lokhandwala,Netflix,Movie,2021-08-27,2007.0,"['Action & Adventure', 'Dramas', 'International Movies']",116,
Shor In the City,Netflix,Movie,2021-08-27,2011.0,"['Comedies', 'Dramas', 'Independent Movies']",106,
The Dirty Picture,Netflix,Movie,2021-08-27,2011.0,"['Comedies', 'Dramas', 'International Movies']",145,
Titletown High,Netflix,TV Show,2021-08-27,2021.0,"['Reality TV', 'Teen TV Shows']",,
EDENS ZERO,Netflix,TV Show,2021-08-26,2021.0,"['Anime Series', 'International TV Shows']",,
Family Reunion,both,TV Show,2021-08-26,2021.0,"[""Kids' TV"", 'TV Comedies']",88,4
"Bob Ross: Happy Accidents, Betrayal & Greed",Netflix,Movie,2021-08-25,2021.0,['Documentaries'],93,
Clickbait,Netflix,TV Show,2021-08-25,2021.0,"['Crime TV Shows', 'TV Dramas', 'TV Mysteries']",,
John of God: The Crimes of a Spiritual Healer,Netflix,TV Show,2021-08-25,2021.0,"['Crime TV Shows', 'Docuseries', 'International TV Shows']",,
Motel Makeover,Netflix,TV Show,2021-08-25,2021.0,"['International TV Shows', 'Reality TV']",,
Open Your Eyes,both,TV Show,2021-08-25,2021.0,"['International TV Shows', 'TV Dramas', 'TV Mysteries']",100,
Post Mortem: No One Dies in Skarnes,Netflix,TV Show,2021-08-25,2021.0,"['International TV Shows', 'TV Comedies', 'TV Dramas']",,
Really Love,Netflix,Movie,2021-08-25,2020.0,"['Dramas', 'Independent Movies', 'Romantic Movies']",95,
The November Man,Netflix,Movie,2021-08-25,2014.0,['Action & Adventure'],108,
The Old Ways,Netflix,Movie,2021-08-25,2020.0,['Horror Movies'],90,
The River Runner,Netflix,Movie,2021-08-25,2021.0,"['Documentaries', 'Sports Movies']",86,
The Water Man,Netflix,Movie,2021-08-25,2021.0,"['Children & Family Movies', 'Dramas']",92,
Wheel of Fortune,Netflix,TV Show,2021-08-25,2019.0,['Reality TV'],,3
Count Me In,Netflix,Movie,2021-08-24,2021.0,"['Documentaries', 'Music & Musicals']",82,
Oggy Oggy,Netflix,TV Show,2021-08-24,2021.0,"[""Kids' TV"", 'TV Comedies']",,
Untold: Caitlyn Jenner,Netflix,Movie,2021-08-24,2021.0,"['Documentaries', 'LGBTQ Movies', 'Sports Movies']",70,
Boomika,Netflix,Movie,2021-08-23,2021.0,"['Horror Movies', 'International Movies', 'Thrillers']",122,
Boomika (Hindi),Netflix,Movie,2021-08-23,2021.0,"['Horror Movies', 'International Movies', 'Thrillers']",122,
Boomika (Malayalam),Netflix,Movie,2021-08-23,2021.0,"['Horror Movies', 'International Movies', 'Thrillers']",122,
Boomika (Telugu),Netflix,Movie,2021-08-23,2021.0,"['Horror Movies', 'International Movies', 'Thrillers']",122,
The Witcher: Nightmare of the Wolf,Netflix,Movie,2021-08-23,2021.0,"['Action & Adventure', 'Anime Features']",84,
Manifest,Netflix,TV Show,2021-08-21,2021.0,"['TV Dramas', 'TV Mysteries', 'TV Sci-Fi & Fantasy']",,3
Comedy Premium League,Netflix,TV Show,2021-08-20,2021.0,"['International TV Shows', 'TV Comedies']",,
Everything Will Be Fine,Netflix,TV Show,2021-08-20,2021.0,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Comedies']",,
Gunshot,Netflix,Movie,2021-08-20,2018.0,"['Dramas', 'International Movies', 'Thrillers']",96,
Korean Cold Noodle Rhapsody,Netflix,TV Show,2021-08-20,2021.0,"['Docuseries', 'International TV Shows']",,
Man in Love,Netflix,Movie,2021-08-20,2021.0,"['Dramas', 'International Movies', 'Romantic Movies']",115,
Sweet Girl,Netflix,Movie,2021-08-20,2021.0,"['Action & Adventure', 'Dramas']",110,
The Chair,Netflix,TV Show,2021-08-20,2021.0,"['TV Comedies', 'TV Dramas']",,
